PassengerId,Survived,Pclass,Gender,Age,Relative_Nb,Fare
1,0.0,3,0,22.0,1,7.25
2,1.0,1,1,38.0,1,71.2833
3,1.0,3,1,26.0,0,7.925
4,1.0,1,1,35.0,1,53.1
5,0.0,3,0,35.0,0,8.05
6,0.0,3,0,23.926501618400003,0,8.4583
7,0.0,1,0,54.0,0,51.8625
8,0.0,3,0,2.0,4,21.075
9,1.0,3,1,27.0,2,11.1333
10,1.0,2,1,14.0,1,30.0708
11,1.0,3,1,4.0,2,16.7
12,1.0,1,1,58.0,0,26.55
13,0.0,3,0,20.0,0,8.05
14,0.0,3,0,39.0,6,31.275
15,0.0,3,1,14.0,0,7.8542
16,1.0,2,1,55.0,0,16.0
17,0.0,3,0,2.0,5,29.125
18,1.0,2,0,32.1728677278,0,13.0
19,0.0,3,1,31.0,1,18.0
20,1.0,3,1,27.7498360862,0,7.225
21,0.0,2,0,35.0,0,26.0
22,1.0,2,0,34.0,0,13.0
23,1.0,3,1,15.0,0,8.0292
24,1.0,1,0,28.0,0,35.5
25,0.0,3,1,8.0,4,21.075
26,1.0,3,1,38.0,6,31.3875
27,0.0,3,0,27.7498360862,0,7.225
28,0.0,1,0,19.0,5,263.0
29,1.0,3,1,22.5812826443,0,7.8792
30,0.0,3,0,27.824180195900002,0,7.8958
31,0.0,1,0,40.0,0,27.7208
32,1.0,1,1,49.6804983333,1,146.5208
33,1.0,3,1,32.6934168167,0,7.75
34,0.0,2,0,66.0,0,10.5
35,0.0,1,0,28.0,1,82.1708
36,0.0,1,0,42.0,1,52.0
37,1.0,3,0,23.7522365127,0,7.2292
38,0.0,3,0,21.0,0,8.05
39,0.0,3,1,18.0,2,18.0
40,1.0,3,1,14.0,1,11.2417
41,0.0,3,1,40.0,1,9.475
42,0.0,2,1,27.0,1,21.0
43,0.0,3,0,27.824180195900002,0,7.8958
44,1.0,2,1,3.0,3,41.5792
45,1.0,3,1,19.0,0,7.8792
46,0.0,3,0,29.513190245700002,0,8.05
47,0.0,3,0,32.3396619048,1,15.5
48,1.0,3,1,32.6934168167,0,7.75
49,0.0,3,0,23.1054462302,2,21.6792
50,0.0,3,1,18.0,1,17.8
51,0.0,3,0,7.0,5,39.6875
52,0.0,3,0,21.0,0,7.8
53,1.0,1,1,49.0,1,76.7292
54,1.0,2,1,29.0,1,26.0
55,0.0,1,0,65.0,1,61.9792
56,1.0,1,0,43.8795926587,0,35.5
57,1.0,2,1,21.0,0,10.5
58,0.0,3,0,28.5,0,7.2292
59,1.0,2,1,5.0,3,27.75
60,0.0,3,0,11.0,7,46.9
61,0.0,3,0,22.0,0,7.2292
62,1.0,1,1,38.0,0,80.0
63,0.0,1,0,45.0,1,83.475
64,0.0,3,0,4.0,5,27.9
65,0.0,1,0,40.1815517198,0,27.7208
66,1.0,3,0,8.26579594156,2,15.2458
67,1.0,2,1,29.0,0,10.5
68,0.0,3,0,19.0,0,8.1583
69,1.0,3,1,17.0,6,7.925
70,0.0,3,0,26.0,2,8.6625
71,0.0,2,0,32.0,0,10.5
72,0.0,3,1,16.0,7,46.9
73,0.0,2,0,21.0,0,73.5
74,0.0,3,0,26.0,1,14.4542
75,1.0,3,0,32.0,0,56.4958
76,0.0,3,0,25.0,0,7.65
77,0.0,3,0,27.824180195900002,0,7.8958
78,0.0,3,0,29.513190245700002,0,8.05
79,1.0,2,0,0.83,2,29.0
80,1.0,3,1,30.0,0,12.475
81,0.0,3,0,22.0,0,9.0
82,1.0,3,0,29.0,0,9.5
83,1.0,3,1,23.095063724299997,0,7.7875
84,0.0,1,0,28.0,0,47.1
85,1.0,2,1,17.0,0,10.5
86,1.0,3,1,33.0,3,15.85
87,0.0,3,0,16.0,4,34.375
88,0.0,3,0,29.513190245700002,0,8.05
89,1.0,1,1,23.0,5,263.0
90,0.0,3,0,24.0,0,8.05
91,0.0,3,0,29.0,0,8.05
92,0.0,3,0,20.0,0,7.8542
93,0.0,1,0,46.0,1,61.175
94,0.0,3,0,26.0,3,20.575
95,0.0,3,0,59.0,0,7.25
96,0.0,3,0,29.513190245700002,0,8.05
97,0.0,1,0,71.0,0,34.6542
98,1.0,1,0,23.0,1,63.3583
99,1.0,2,1,34.0,1,23.0
100,0.0,2,0,34.0,1,26.0
101,0.0,3,1,28.0,0,7.8958
102,0.0,3,0,27.824180195900002,0,7.8958
103,0.0,1,0,21.0,1,77.2875
104,0.0,3,0,33.0,0,8.6542
105,0.0,3,0,37.0,2,7.925
106,0.0,3,0,28.0,0,7.8958
107,1.0,3,1,21.0,0,7.65
108,1.0,3,0,26.4760360392,0,7.775
109,0.0,3,0,38.0,0,7.8958
110,1.0,3,1,32.9727375335,1,24.15
111,0.0,1,0,47.0,0,52.0
112,0.0,3,1,14.5,1,14.4542
113,0.0,3,0,22.0,0,8.05
114,0.0,3,1,20.0,1,9.825
115,0.0,3,1,17.0,0,14.4583
116,0.0,3,0,21.0,0,7.925
117,0.0,3,0,70.5,0,7.75
118,0.0,2,0,29.0,1,21.0
119,0.0,1,0,24.0,1,247.5208
120,0.0,3,1,2.0,6,31.275
121,0.0,2,0,21.0,2,73.5
122,0.0,3,0,29.513190245700002,0,8.05
123,0.0,2,0,32.5,1,30.0708
124,1.0,2,1,32.5,0,13.0
125,0.0,1,0,54.0,1,77.2875
126,1.0,3,0,12.0,1,11.2417
127,0.0,3,0,32.6934168167,0,7.75
128,1.0,3,0,24.0,0,7.1417
129,1.0,3,1,25.3154349722,2,22.3583
130,0.0,3,0,45.0,0,6.975
131,0.0,3,0,33.0,0,7.8958
132,0.0,3,0,20.0,0,7.05
133,0.0,3,1,47.0,1,14.5
134,1.0,2,1,29.0,1,26.0
135,0.0,2,0,25.0,0,13.0
136,0.0,2,0,23.0,0,15.0458
137,1.0,1,1,19.0,2,26.2833
138,0.0,1,0,37.0,1,53.1
139,0.0,3,0,16.0,0,9.2167
140,0.0,1,0,24.0,0,79.2
141,0.0,3,1,23.928838134899998,2,15.2458
142,1.0,3,1,22.0,0,7.75
143,1.0,3,1,24.0,1,15.85
144,0.0,3,0,19.0,0,6.75
145,0.0,2,0,18.0,0,11.5
146,0.0,2,0,19.0,2,36.75
147,1.0,3,0,27.0,0,7.7958
148,0.0,3,1,9.0,4,34.375
149,0.0,2,0,36.5,2,26.0
150,0.0,2,0,42.0,0,13.0
151,0.0,2,0,51.0,0,12.525
152,1.0,1,1,22.0,1,66.6
153,0.0,3,0,55.5,0,8.05
154,0.0,3,0,40.5,2,14.5
155,0.0,3,0,22.960314862399997,0,7.3125
156,0.0,1,0,51.0,1,61.3792
157,1.0,3,1,16.0,0,7.7333
158,0.0,3,0,30.0,0,8.05
159,0.0,3,0,24.4279613904,0,8.6625
160,0.0,3,0,13.5510928648,10,69.55
161,0.0,3,0,44.0,1,16.1
162,1.0,2,1,40.0,0,15.75
163,0.0,3,0,26.0,0,7.775
164,0.0,3,0,17.0,0,8.6625
165,0.0,3,0,1.0,5,39.6875
166,1.0,3,0,9.0,2,20.525
167,1.0,1,1,25.9032702381,1,55.0
168,0.0,3,1,45.0,5,27.9
169,0.0,1,0,47.9308698746,0,25.925
170,0.0,3,0,28.0,0,56.4958
171,0.0,1,0,61.0,0,33.5
172,0.0,3,0,4.0,5,29.125
173,1.0,3,1,1.0,2,11.1333
174,0.0,3,0,21.0,0,7.925
175,0.0,1,0,56.0,0,30.6958
176,0.0,3,0,18.0,2,7.8542
177,0.0,3,0,12.671518469,4,25.4667
178,0.0,1,1,50.0,0,28.7125
179,0.0,2,0,30.0,0,13.0
180,0.0,3,0,36.0,0,0.0
181,0.0,3,1,13.5510928648,10,69.55
182,0.0,2,0,32.298142857100004,0,15.05
183,0.0,3,0,9.0,6,31.3875
184,1.0,2,0,1.0,3,39.0
185,1.0,3,1,4.0,2,22.025
186,0.0,1,0,52.158602381,0,50.0
187,1.0,3,1,32.3396619048,1,15.5
188,1.0,1,0,45.0,0,26.55
189,0.0,3,0,40.0,2,15.5
190,0.0,3,0,36.0,0,7.8958
191,1.0,2,1,32.0,0,13.0
192,0.0,2,0,19.0,0,13.0
193,1.0,3,1,19.0,1,7.8542
194,1.0,2,0,3.0,2,26.0
195,1.0,1,1,44.0,0,27.7208
196,1.0,1,1,58.0,0,146.5208
197,0.0,3,0,32.6934168167,0,7.75
198,0.0,3,0,42.0,1,8.4042
199,1.0,3,1,32.6934168167,0,7.75
200,0.0,2,1,24.0,0,13.0
201,0.0,3,0,28.0,0,9.5
202,0.0,3,0,13.5510928648,10,69.55
203,0.0,3,0,34.0,0,6.4958
204,0.0,3,0,45.5,0,7.225
205,1.0,3,0,18.0,0,8.05
206,0.0,3,1,2.0,1,10.4625
207,0.0,3,0,32.0,1,15.85
208,1.0,3,0,26.0,0,18.7875
209,1.0,3,1,16.0,0,7.75
210,1.0,1,0,40.0,0,31.0
211,0.0,3,0,24.0,0,7.05
212,1.0,2,1,35.0,0,21.0
213,0.0,3,0,22.0,0,7.25
214,0.0,2,0,30.0,0,13.0
215,0.0,3,0,30.390911438200003,1,7.75
216,1.0,1,1,31.0,1,113.275
